ItemId,DropId,Weight
300,101,6510
300,102,7040
300,103,1500
300,104,100
300,105,3
300,107,6550
300,108,8152
300,109,2467
300,110,989
300,111,194
300,112,95
300,113,56
300,114,1
300,116,50
300,117,3
301,101,6510
301,102,7040
301,103,1500
301,104,100
301,105,3
301,107,6550
301,108,8152
301,109,2467
301,110,989
301,111,194
301,112,95
301,113,56
301,114,1
301,116,50
301,117,3
303,101,300
303,102,600
303,103,890
303,104,150
303,105,10
303,107,380
303,108,530
303,109,640
303,110,821
303,111,243
303,112,88
303,113,40
303,114,8
303,116,50
303,117,5
304,101,300
304,102,600
304,103,890
304,104,150
304,105,10
304,107,380
304,108,530
304,109,640
304,110,821
304,111,243
304,112,88
304,113,40
304,114,8
304,116,50
304,117,5
306,101,200
306,102,310
306,103,550
306,104,1000
306,105,300
306,107,400
306,108,300
306,109,700
306,110,1000
306,111,2000
306,112,1500
306,113,800
306,114,200
306,116,600
306,117,150
307,101,200
307,102,310
307,103,550
307,104,1000
307,105,300
307,107,400
307,108,300
307,109,700
307,110,1000
307,111,2000
307,112,1500
307,113,800
307,114,200
307,116,600
307,117,150
300,130,10
301,130,10
303,130,25
304,130,25
306,130,50
307,130,50
10,101,14
10,102,21
10,103,16
10,104,9
10,105,2
10,107,10
10,108,20
10,109,24
10,110,22
10,111,14
10,112,7
10,113,4
10,114,1
10,116,12
10,117,3
10,130,5
10,300,80
10,301,60
10,303,30
10,304,15
10,306,9
10,307,3
