ItemId,Type,Name,Rarity,Value,Stack,PropertyA,PropertyB,PropertyC,PropertyD,PropertyE,PropertyF,PropertyG,PropertyH,Description,,,,,,,,,,,,,,
100,Consumable,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Consumable,Tiny Voucher,1,,9,25,,,,,,,322486373602820106,This voucher is redeemable for 25 points,,,,,,,,,,,,,,
102,Consumable,Small Voucher,2,,9,500,,,,,,,322486372827004950,This voucher is redeemable for 500 points,,,,,,,,,,,,,,
103,Consumable,Medium Voucher,3,,9,3000,,,,,,,322486373405818890,This voucher is redeemable for 3000 points,,,,,,,,,,,,,,
104,Consumable,Large Voucher,4,,9,10000,,,,,,,322486373154160641,This voucher is redeemable for 10000 points,,,,,,,,,,,,,,
105,Consumable,Giant Voucher,5,,9,25000,,,,,,,322486373049171970,This voucher is redeemable for 30000 points,,,,,,,,,,,,,,
106,Consumable,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Consumable,Wood Voucher,1,,9,-1,325,,,,,,322567686108348416,This voucher is redeemable for 0-325 points,,,,,,,,,,,,,,
108,Consumable,Plastic Voucher,1,,9,200,750,,,,,,322536341290221570,This voucher is redeemable for 200-750 points,,,,,,,,,,,,,,
109,Consumable,Copper Voucher,1,,9,500,1500,,,,,,322536341088763926,This voucher is redeemable for 500-1500 points,,,,,,,,,,,,,,
110,Consumable,Silver Voucher,2,,9,1250,5000,,,,,,322536340170342412,This voucher is redeemable for 1250-5000 points,,,,,,,,,,,,,,
111,Consumable,Gold Voucher,3,,9,2500,10000,,,,,,322536341155872770,This voucher is redeemable for 2500-10000 points,,,,,,,,,,,,,,
112,Consumable,Diamond Voucher,4,,9,5000,20000,,,,,,322536340610613250,This voucher is redeemable for 5000-20000 points,,,,,,,,,,,,,,
113,Consumable,Emerald Voucher,5,,9,10000,40000,,,,,,322536340698824704,This voucher is redeemable for 10000-40000 points,,,,,,,,,,,,,,
114,Consumable,Mythic Voucher,7,,9,-1,99999,,,,,,322536340677722112,This voucher is redeemable for 0-100000 points,,,,,,,,,,,,,,
115,Consumable,,,,,,,,,,,,,,,,,,,,,,,,,,,
